Architecture,Source Dataset,Target Dataset,Oracle
resnet18,nabird,cifar10,94.35
resnet18,oxford_pets,cifar10,95.58
resnet18,cub200,cifar10,93.25
resnet18,caltech101,cifar10,95.63000000000001
resnet18,stanford_dogs,cifar10,95.41
resnet18,voc2007,cifar10,95.65
resnet18,imagenet,cifar10,95.86
googlenet,nabird,cifar10,86.16
googlenet,oxford_pets,cifar10,88.72
googlenet,cub200,cifar10,88.47
googlenet,caltech101,cifar10,87.63
googlenet,stanford_dogs,cifar10,89.44
googlenet,voc2007,cifar10,87.82
googlenet,imagenet,cifar10,88.7
alexnet,nabird,cifar10,92.31
alexnet,oxford_pets,cifar10,93.05
alexnet,cub200,cifar10,92.86
alexnet,caltech101,cifar10,92.86999999999999
alexnet,stanford_dogs,cifar10,92.61
alexnet,voc2007,cifar10,92.75999999999999
alexnet,imagenet,cifar10,92.89
resnet50,nabird,oxford_pets,72.47206323248841
resnet50,cub200,oxford_pets,85.74543472335786
resnet50,caltech101,oxford_pets,88.8252929953666
resnet50,stanford_dogs,oxford_pets,91.2782774597983
resnet50,voc2007,oxford_pets,89.26137912237667
resnet50,cifar10,oxford_pets,90.02452984464432
resnet50,imagenet,oxford_pets,90.86944671572635
resnet18,nabird,oxford_pets,65.0858544562551
resnet18,cub200,oxford_pets,39.73834832379395
resnet18,caltech101,oxford_pets,88.30744071954211
resnet18,stanford_dogs,oxford_pets,89.17961297356229
resnet18,voc2007,oxford_pets,88.25292995366584
resnet18,cifar10,oxford_pets,87.08094848732625
resnet18,imagenet,oxford_pets,88.68901608067593
googlenet,nabird,oxford_pets,51.158353774870534
googlenet,cub200,oxford_pets,68.87435268465522
googlenet,caltech101,oxford_pets,69.96456800218043
googlenet,stanford_dogs,oxford_pets,82.88361951485417
googlenet,voc2007,oxford_pets,72.7173616789316
googlenet,cifar10,oxford_pets,67.21177432542927
googlenet,imagenet,oxford_pets,75.30662305805397
alexnet,nabird,oxford_pets,76.45134914145544
alexnet,cub200,oxford_pets,77.5960752248569
alexnet,caltech101,oxford_pets,76.64213682202234
alexnet,stanford_dogs,oxford_pets,79.09512128645407
alexnet,voc2007,oxford_pets,75.98800763150723
alexnet,cifar10,oxford_pets,76.69664758789861
alexnet,imagenet,oxford_pets,78.33197056418642
resnet50,nabird,cub200,84.74283741801864
resnet50,oxford_pets,cub200,78.42595788746979
resnet50,caltech101,cub200,78.20158784949949
resnet50,stanford_dogs,cub200,78.9955125992406
resnet50,voc2007,cub200,78.90921643079048
resnet50,cifar10,cub200,79.47877114256127
resnet50,imagenet,cub200,79.66862271315154
resnet18,nabird,cub200,71.02174663444943
resnet18,oxford_pets,cub200,69.19226786330687
resnet18,caltech101,cub200,68.7780462547463
resnet18,stanford_dogs,cub200,67.69071453227477
resnet18,voc2007,cub200,68.58819468415602
resnet18,cifar10,cub200,67.27649292371419
resnet18,imagenet,cub200,68.98515705902658
googlenet,nabird,cub200,70.45219192267864
googlenet,oxford_pets,cub200,47.03141180531584
googlenet,caltech101,cub200,44.75319295823266
googlenet,stanford_dogs,cub200,45.391784604763544
googlenet,voc2007,cub200,43.54504659993096
googlenet,cifar10,cub200,45.32274767000345
googlenet,imagenet,cub200,49.44770452191923
alexnet,nabird,cub200,61.201242664825685
alexnet,oxford_pets,cub200,53.84880911287539
alexnet,caltech101,cub200,51.242664825681736
alexnet,stanford_dogs,cub200,53.365550569554706
alexnet,voc2007,cub200,53.55540214014498
alexnet,cifar10,cub200,50.6385916465309
alexnet,imagenet,cub200,53.98688298239558
resnet50,nabird,caltech101,91.52091254752852
resnet50,oxford_pets,caltech101,95.55133079847909
resnet50,cub200,caltech101,94.52471482889734
resnet50,stanford_dogs,caltech101,94.90494296577947
resnet50,voc2007,caltech101,95.55133079847909
resnet50,cifar10,caltech101,95.74144486692016
resnet50,imagenet,caltech101,95.2851711026616
resnet18,nabird,caltech101,61.634980988593156
resnet18,oxford_pets,caltech101,87.41444866920152
resnet18,cub200,caltech101,43.2319391634981
resnet18,stanford_dogs,caltech101,83.8022813688213
resnet18,voc2007,caltech101,87.18631178707224
resnet18,cifar10,caltech101,82.69961977186313
resnet18,imagenet,caltech101,87.68060836501901
googlenet,nabird,caltech101,81.4448669201521
googlenet,oxford_pets,caltech101,86.23574144486692
googlenet,cub200,caltech101,84.03041825095056
googlenet,stanford_dogs,caltech101,86.61596958174906
googlenet,voc2007,caltech101,87.3384030418251
googlenet,cifar10,caltech101,88.2509505703422
googlenet,imagenet,caltech101,86.53992395437263
alexnet,nabird,caltech101,80.6083650190114
alexnet,oxford_pets,caltech101,85.39923954372624
alexnet,cub200,caltech101,82.47148288973384
alexnet,stanford_dogs,caltech101,83.65019011406845
alexnet,voc2007,caltech101,85.05703422053233
alexnet,cifar10,caltech101,83.57414448669202
alexnet,imagenet,caltech101,85.55133079847909
resnet50,nabird,stanford_dogs,58.84615384615385
resnet50,oxford_pets,stanford_dogs,83.01864801864802
resnet50,cub200,stanford_dogs,78.54312354312354
resnet50,caltech101,stanford_dogs,80.94405594405595
resnet50,voc2007,stanford_dogs,83.22843822843822
resnet50,cifar10,stanford_dogs,83.14685314685315
resnet50,imagenet,stanford_dogs,84.28904428904428
resnet18,nabird,stanford_dogs,66.37529137529138
resnet18,oxford_pets,stanford_dogs,79.07925407925408
resnet18,cub200,stanford_dogs,59.044289044289044
resnet18,caltech101,stanford_dogs,78.85780885780885
resnet18,voc2007,stanford_dogs,79.8018648018648
resnet18,cifar10,stanford_dogs,77.16783216783217
resnet18,imagenet,stanford_dogs,79.74358974358975
googlenet,nabird,stanford_dogs,56.433566433566426
googlenet,oxford_pets,stanford_dogs,71.27039627039628
googlenet,cub200,stanford_dogs,68.86946386946387
googlenet,caltech101,stanford_dogs,70.1981351981352
googlenet,voc2007,stanford_dogs,72.4009324009324
googlenet,cifar10,stanford_dogs,70.5944055944056
googlenet,imagenet,stanford_dogs,71.56177156177156
alexnet,nabird,stanford_dogs,59.61538461538461
alexnet,oxford_pets,stanford_dogs,61.81818181818181
alexnet,cub200,stanford_dogs,60.641025641025635
alexnet,caltech101,stanford_dogs,61.421911421911425
alexnet,voc2007,stanford_dogs,61.7016317016317
alexnet,cifar10,stanford_dogs,59.84848484848485
alexnet,imagenet,stanford_dogs,62.074592074592076
resnet50,oxford_pets,nabird,77.02675273007755
resnet50,cub200,nabird,76.92932245361914
resnet50,caltech101,nabird,76.57207810660496
resnet50,stanford_dogs,nabird,76.92120326391426
resnet50,voc2007,nabird,77.04299110948728
resnet50,cifar10,nabird,77.12012341168352
resnet50,imagenet,nabird,77.19319611902732
resnet18,oxford_pets,nabird,69.89404457435148
resnet18,cub200,nabird,67.7789956562335
resnet18,caltech101,nabird,70.0523687735964
resnet18,stanford_dogs,nabird,70.11732229123534
resnet18,voc2007,nabird,70.28782527503755
resnet18,cifar10,nabird,69.23639020825722
resnet18,imagenet,nabird,70.01177282507206
googlenet,oxford_pets,nabird,53.805870174156624
googlenet,cub200,nabird,48.95465432549832
googlenet,caltech101,nabird,54.808590102707754
googlenet,stanford_dogs,nabird,52.66512402062274
googlenet,voc2007,nabird,53.87488328664799
googlenet,cifar10,nabird,47.97223237120936
googlenet,imagenet,nabird,52.83156740957252
alexnet,oxford_pets,nabird,46.27938131774449
alexnet,cub200,nabird,47.38359111760646
alexnet,caltech101,nabird,46.12105711849958
alexnet,stanford_dogs,nabird,47.16437299557504
alexnet,voc2007,nabird,46.68128120813543
alexnet,cifar10,nabird,46.31185807656396
alexnet,imagenet,nabird,46.470182275808874
resnet50,nabird,voc2007,96.06988999153782
